Gender,AgeClass,Event,WeightClass,AnnualImprovement
M,24-34,B,76.25,-2.5
M,24-34,B,100.4,15.0
M,20-23,B,79.95,8.75
M,24-34,B,105.05,10.0
M,20-23,B,79.1,40.0
M,24-34,B,100.55,22.5
M,20-23,B,75.1,
M,24-34,B,101.22,16.5
M,20-23,B,92.2,
M,24-34,B,101.55,
M,20-23,B,80.0,
M,24-34,B,95.0,-0.0
M,40-44,B,106.1,5.0
M,45-49,B,115.11,
M,40-44,B,107.0,
M,35-39,B,116.55,-0.75
M,40-44,B,105.95,0.125
M,35-39,B,110.95,0.125
M,40-44,B,106.0,8.0
M,40-44,B,104.37,-1.5714285714285714
M,35-39,B,111.6,4.25
M,24-34,B,115.05,17.5
M,35-39,B,118.4,-1.875
M,40-44,B,106.21,4.0
M,40-44,B,106.52,-2.0
M,35-39,B,119.0,10.0
M,35-39,B,114.4,-2.5
M,35-39,B,110.55,23.0
M,35-39,B,114.3,-3.4
M,40-44,B,113.35,-3.0
M,40-44,B,121.53,1.1666666666666667
M,24-34,B,113.9,1.7142857142857142
M,40-44,B,116.35,
M,35-39,B,,
M,40-44,B,113.6,0.4
M,35-39,B,110.59,-0.0
M,40-44,B,105.76,-5.333333333333333
M,24-34,B,149.8,-3.0
M,24-34,B,151.18,-1.75
M,24-34,B,152.13,
M,24-34,B,150.3,2.0
M,24-34,B,144.23,5.0
M,24-34,B,154.59,6.0
M,24-34,B,139.1,6.8
M,24-34,B,157.7,8.0
M,24-34,B,158.06,7.0
M,24-34,B,151.94,7.0
M,24-34,B,146.73,1.0
M,24-34,B,148.36,5.0
M,24-34,B,148.25,5.25
M,24-34,B,125.8,-7.333333333333333
M,24-34,B,110.5,-6.0
M,20-23,B,117.95,-2.0
M,24-34,B,116.3,-3.5
M,20-23,B,124.25,-1.7857142857142858
M,24-34,B,135.4,-1.5
M,24-34,B,113.95,
M,20-23,B,118.5,
M,20-23,B,111.92,28.75
M,20-23,B,121.35,
M,24-34,B,121.1,
M,24-34,B,124.85,6.0
F,24-34,B,37.9,1.6666666666666667
F,24-34,B,35.46,-0.6
F,24-34,B,36.8,2.0
F,24-34,B,37.87,-6.0
F,,B,37.31,1.4
F,24-34,B,36.4,0.8571428571428571
F,24-34,B,36.86,0.8571428571428571
F,24-34,B,35.53,0.8333333333333334
F,24-34,B,37.71,
F,,B,40.0,
F,24-34,B,37.5,6.666666666666667
F,24-34,B,37.35,-1.6666666666666667
F,24-34,B,38.28,3.0
F,24-34,B,38.0,1.5
F,24-34,B,36.0,0.625
F,24-34,B,35.89,0.8333333333333334
F,24-34,B,37.48,3.0
F,24-34,B,54.25,4.5
F,24-34,B,52.31,5.571428571428571
F,20-23,B,44.91,7.0
F,24-34,B,50.42,12.0
F,24-34,B,53.79,15.0
F,24-34,B,52.97,12.0
F,24-34,B,52.54,10.0
F,24-34,B,54.18,3.0
F,24-34,B,52.72,3.3333333333333335
F,20-23,B,49.45,4.0
F,20-23,B,56.65,12.0
F,20-23,B,53.6,6.75
F,24-34,B,51.98,6.333333333333333
F,35-39,B,60.3,-0.5
F,40-44,B,60.56,2.0
F,40-44,B,60.05,0.14285714285714285
F,24-34,B,51.75,0.8571428571428571
F,40-44,B,60.77,1.4285714285714286
F,24-34,B,51.48,
F,24-34,B,52.0,
F,24-34,B,51.5,1.0
F,40-44,B,60.57,2.8333333333333335
F,35-39,B,54.62,-1.25
F,24-34,B,50.7,2.5
F,24-34,B,50.9,0.6666666666666666
F,40-44,B,60.79,3.0
F,20-23,B,71.4,9.0
F,18-19,B,48.79,2.4
F,20-23,B,75.66,
F,20-23,B,74.22,
F,20-23,B,73.0,
F,18-19,B,53.31,7.0
F,20-23,B,65.6,14.0
F,18-19,B,58.3,12.0
F,35-39,B,107.4,-1.5
F,40-44,B,114.69,-1.0
F,,B,105.54,0.16666666666666666
F,24-34,B,80.4,0.5769230769230769
F,40-44,B,84.46,15.0
F,40-44,B,111.59,-3.2857142857142856
F,24-34,B,81.22,1.5
F,24-34,B,80.05,-2.3333333333333335
F,24-34,B,81.72,-1.0
F,24-34,B,81.0,-2.125
F,,B,109.64,
F,35-39,B,107.1,
F,35-39,B,84.75,-0.16666666666666666
F,,B,82.1,5.0
F,24-34,B,80.3,-1.25
F,24-34,B,81.85,1.875
F,24-34,B,77.42,3.5
F,24-34,B,87.4,-3.3333333333333335
F,40-44,B,103.25,-1.4583333333333333
F,24-34,B,81.05,2.5
F,24-34,B,81.91,-0.2222222222222222
F,40-44,B,116.52,-6.333333333333333
M,50-54,B,48.55,
M,55-59,B,45.4,0.6666666666666666
M,50-54,B,48.05,-2.5
M,45-49,B,47.2,
M,50-54,B,48.99,
M,45-49,B,47.65,0.1111111111111111
M,35-39,B,48.75,7.333333333333333
M,35-39,B,53.5,8.5
M,24-34,B,47.51,7.4
M,20-23,B,48.4,25.0
M,20-23,B,47.91,7.666666666666667
M,24-34,B,53.45,-4.25
M,24-34,B,50.6,-4.0
M,24-34,B,50.93,-0.75
M,35-39,B,52.91,-3.3333333333333335
M,35-39,B,53.4,1.0
M,24-34,B,53.95,
M,35-39,B,58.1,
M,24-34,B,53.25,3.5
M,35-39,B,61.75,5.0
M,24-34,B,53.55,5.833333333333333
M,24-34,B,60.71,7.0
M,20-23,B,54.58,9.166666666666666
M,24-34,B,59.5,9.333333333333334
M,24-34,B,53.15,3.0
M,24-34,B,53.94,3.6
M,24-34,B,59.5,5.1
M,20-23,B,52.0,6.0
M,24-34,B,60.2,3.6666666666666665
M,24-34,B,55.05,-13.0
M,24-34,B,54.64,12.5
M,24-34,B,59.42,5.4
M,20-23,B,54.0,5.0
M,24-34,B,55.7,8.0
M,24-34,B,59.5,3.0
M,24-34,B,58.22,-0.0
M,24-34,B,59.13,
M,24-34,B,60.86,
M,24-34,B,55.65,
M,35-39,B,58.75,1.1666666666666667
M,40-44,B,58.4,1.7777777777777777
M,24-34,B,59.7,3.0
M,24-34,B,58.16,4.75
M,20-23,B,51.8,3.875
M,35-39,B,58.3,6.0
M,35-39,B,58.05,2.0
M,35-39,B,58.9,
M,35-39,B,58.86,
M,40-44,B,58.4,1.5
M,24-34,B,59.1,1.5
M,40-44,B,58.8,0.0
M,35-39,B,58.65,6.0
M,35-39,B,58.27,4.5
M,24-34,B,58.05,-0.25
M,35-39,B,58.79,
M,24-34,B,58.65,
M,35-39,B,58.43,6.0
M,35-39,B,57.8,2.0
M,35-39,B,58.73,-1.3333333333333333
M,35-39,B,57.7,6.0
M,40-44,B,58.36,0.6
M,35-39,B,58.2,1.3333333333333333
M,16-17,B,57.85,4.0
M,20-23,B,56.5,10.0
M,16-17,B,55.55,19.0
M,16-17,B,57.15,
M,20-23,B,51.32,
M,35-39,B,56.6,
M,35-39,B,57.2,
M,35-39,B,56.7,-0.0
M,24-34,B,57.35,2.0
M,24-34,B,58.25,0.2
M,24-34,B,53.34,
M,24-34,B,53.3,
M,24-34,B,58.55,7.0
M,20-23,B,55.2,5.333333333333333
M,24-34,B,58.4,-4.5
M,24-34,B,53.8,0.6666666666666666
M,24-34,B,53.75,1.0
M,24-34,B,53.34,-10.0
M,24-34,B,57.55,-5.625
M,24-34,B,58.05,0.0
M,24-34,B,54.91,1.4
M,24-34,B,57.48,-9.0
M,18-19,B,56.05,
M,16-17,B,55.13,
M,18-19,B,55.4,7.0
M,45-49,B,63.5,-4.75
M,40-44,B,66.2,-2.5
M,35-39,B,71.65,
M,24-34,B,63.45,4.333333333333333
M,35-39,B,70.4,5.0
M,24-34,B,61.19,3.6
M,20-23,B,64.75,
M,18-19,B,63.66,
M,24-34,B,63.25,-4.0
M,24-34,B,62.92,-1.0
M,24-34,B,71.0,0.6666666666666666
M,24-34,B,63.9,-1.0
M,24-34,B,63.85,-5.0
M,24-34,B,72.59,10.0
M,24-34,B,74.06,-5.0
M,24-34,B,64.55,-3.0
M,24-34,B,63.3,-3.2
M,24-34,B,71.4,-12.5
M,24-34,B,70.35,-6.0
M,24-34,B,71.85,-3.5714285714285716
M,24-34,B,73.3,
M,24-34,B,70.64,
M,45-49,B,61.1,
M,45-49,B,61.38,
M,50-54,B,62.5,1.0
M,20-23,B,71.35,16.0
M,18-19,B,68.62,15.0
